id,mode,oracle_tick,center,lower,upper,attacker_edge,offset,overlap_factor
323,chaos,-520364,-518150,-518350,-517950,2214,2214,0
324,chaos,-520364,-525050,-525250,-524850,4686,-4686,0
325,chaos,-520364,-523080,-523280,-522880,2716,-2716,0
326,chaos,-520364,-522020,-522220,-521820,1656,-1656,0
327,chaos,-520364,-525310,-525510,-525110,4946,-4946,0
328,chaos,-520364,-520360,-520560,-520160,4,4,1
329,chaos,-520364,-516030,-516230,-515830,4334,4334,0
330,chaos,-520364,-520290,-520490,-520090,74,74,0.825
331,chaos,-520364,-521060,-521260,-520860,696,-696,0
332,chaos,-520364,-517490,-517690,-517290,2874,2874,0
333,chaos,-520364,-517450,-517650,-517250,2914,2914,0
334,chaos,-520364,-516270,-516470,-516070,4094,4094,0
335,chaos,-520364,-519140,-519340,-518940,1224,1224,0
336,chaos,-520364,-517920,-518120,-517720,2444,2444,0
337,chaos,-520364,-522270,-522470,-522070,1906,-1906,0
338,chaos,-520364,-523220,-523420,-523020,2856,-2856,0
339,chaos,-520364,-521110,-521310,-520910,746,-746,0
340,chaos,-520364,-515720,-515920,-515520,4644,4644,0
341,chaos,-520364,-516340,-516540,-516140,4024,4024,0
342,chaos,-520364,-518740,-518940,-518540,1624,1624,0
343,chaos,-520364,-524200,-524400,-524000,3836,-3836,0
344,chaos,-520364,-517690,-517890,-517490,2674,2674,0
345,chaos,-520364,-522810,-523010,-522610,2446,-2446,0
346,chaos,-520364,-516060,-516260,-515860,4304,4304,0
347,chaos,-520364,-524200,-524400,-524000,3836,-3836,0
348,chaos,-520364,-519570,-519770,-519370,794,794,0
349,chaos,-520364,-522660,-522860,-522460,2296,-2296,0
350,chaos,-520364,-518680,-518880,-518480,1684,1684,0
351,chaos,-520364,-515940,-516140,-515740,4424,4424,0
352,chaos,-520364,-517770,-517970,-517570,2594,2594,0
353,chaos,-520364,-516070,-516270,-515870,4294,4294,0
354,chaos,-520364,-515720,-515920,-515520,4644,4644,0
355,chaos,-520364,-522030,-522230,-521830,1666,-1666,0
356,chaos,-520364,-522200,-522400,-522000,1836,-1836,0
357,chaos,-520364,-519990,-520190,-519790,374,374,0.075
358,chaos,-520364,-522760,-522960,-522560,2396,-2396,0
359,chaos,-520364,-515370,-515570,-515170,4994,4994,0
360,chaos,-520364,-524220,-524420,-524020,3856,-3856,0
361,chaos,-520364,-524190,-524390,-523990,3826,-3826,0
362,chaos,-520364,-523180,-523380,-522980,2816,-2816,0
363,chaos,-520364,-519050,-519250,-518850,1314,1314,0
364,chaos,-520364,-517560,-517760,-517360,2804,2804,0
365,chaos,-520364,-518970,-519170,-518770,1394,1394,0
366,chaos,-520364,-521380,-521580,-521180,1016,-1016,0
367,chaos,-520364,-518990,-519190,-518790,1374,1374,0
368,chaos,-520364,-521640,-521840,-521440,1276,-1276,0
369,chaos,-520364,-521700,-521900,-521500,1336,-1336,0
370,chaos,-520364,-521390,-521590,-521190,1026,-1026,0
371,chaos,-520364,-524640,-524840,-524440,4276,-4276,0
372,chaos,-520364,-518220,-518420,-518020,2144,2144,0
373,chaos,-520364,-517840,-518040,-517640,2524,2524,0
374,chaos,-520364,-516960,-517160,-516760,3404,3404,0
375,chaos,-520364,-525300,-525500,-525100,4936,-4936,0
376,chaos,-520364,-516880,-517080,-516680,3484,3484,0
377,chaos,-520364,-522350,-522550,-522150,1986,-1986,0
378,chaos,-520364,-521490,-521690,-521290,1126,-1126,0
379,chaos,-520364,-517410,-517610,-517210,2954,2954,0
380,chaos,-520364,-517660,-517860,-517460,2704,2704,0
381,chaos,-520364,-518480,-518680,-518280,1884,1884,0
382,chaos,-520364,-518440,-518640,-518240,1924,1924,0
383,chaos,-520364,-521820,-522020,-521620,1456,-1456,0
384,chaos,-520364,-522710,-522910,-522510,2346,-2346,0
385,chaos,-520364,-521340,-521540,-521140,976,-976,0
386,chaos,-520364,-520300,-520500,-520100,64,64,0.85
387,chaos,-520364,-517730,-517930,-517530,2634,2634,0
388,chaos,-520364,-518560,-518760,-518360,1804,1804,0
389,chaos,-520364,-523670,-523870,-523470,3306,-3306,0
390,chaos,-520364,-516190,-516390,-515990,4174,4174,0
391,chaos,-520364,-522310,-522510,-522110,1946,-1946,0
392,chaos,-520364,-519880,-520080,-519680,484,484,0
393,chaos,-520364,-523020,-523220,-522820,2656,-2656,0
394,chaos,-520364,-521380,-521580,-521180,1016,-1016,0
395,chaos,-520364,-518540,-518740,-518340,1824,1824,0
396,chaos,-520364,-520920,-521120,-520720,556,-556,0
397,chaos,-520364,-515670,-515870,-515470,4694,4694,0
398,chaos,-520364,-520960,-521160,-520760,596,-596,0
399,chaos,-520364,-519050,-519250,-518850,1314,1314,0
400,chaos,-520364,-516330,-516530,-516130,4034,4034,0
401,chaos,-520364,-523110,-523310,-522910,2746,-2746,0
402,chaos,-520364,-523990,-524190,-523790,3626,-3626,0
403,chaos,-520364,-523440,-523640,-523240,3076,-3076,0
404,chaos,-520364,-521020,-521220,-520820,656,-656,0
405,chaos,-520364,-524820,-525020,-524620,4456,-4456,0
406,chaos,-520364,-516680,-516880,-516480,3684,3684,0
407,chaos,-520364,-516360,-516560,-516160,4004,4004,0
408,chaos,-520364,-521680,-521880,-521480,1316,-1316,0
409,chaos,-520364,-521090,-521290,-520890,726,-726,0
410,chaos,-520364,-517210,-517410,-517010,3154,3154,0
411,chaos,-520364,-520160,-520360,-519960,204,204,0.5
412,chaos,-520364,-518240,-518440,-518040,2124,2124,0
413,chaos,-520364,-518590,-518790,-518390,1774,1774,0
414,chaos,-520364,-518800,-519000,-518600,1564,1564,0
415,chaos,-520364,-518360,-518560,-518160,2004,2004,0
416,chaos,-520364,-519970,-520170,-519770,394,394,0.025
417,chaos,-520364,-520550,-520750,-520350,186,-186,0.525
418,chaos,-520364,-524810,-525010,-524610,4446,-4446,0
419,chaos,-520364,-521160,-521360,-520960,796,-796,0
420,chaos,-520364,-517970,-518170,-517770,2394,2394,0
421,chaos,-520364,-515940,-516140,-515740,4424,4424,0
422,chaos,-520364,-520260,-520460,-520060,104,104,0.75
423,chaos,-520364,-520440,-520640,-520240,76,-76,0.8
424,chaos,-520364,-518200,-518400,-518000,2164,2164,0
425,chaos,-520364,-517620,-517820,-517420,2744,2744,0
426,chaos,-520364,-517760,-517960,-517560,2604,2604,0
427,chaos,-520364,-525350,-525550,-525150,4986,-4986,0
428,chaos,-520364,-523840,-524040,-523640,3476,-3476,0
429,chaos,-520364,-517670,-517870,-517470,2694,2694,0
430,chaos,-520364,-524020,-524220,-523820,3656,-3656,0
431,chaos,-520364,-523480,-523680,-523280,3116,-3116,0
432,chaos,-520364,-522660,-522860,-522460,2296,-2296,0
433,chaos,-520364,-524660,-524860,-524460,4296,-4296,0
434,chaos,-520364,-520080,-520280,-519880,284,284,0.3
435,chaos,-520364,-517550,-517750,-517350,2814,2814,0
436,chaos,-520364,-520390,-520590,-520190,26,-26,0.925
437,chaos,-520364,-521980,-522180,-521780,1616,-1616,0
438,chaos,-520364,-523960,-524160,-523760,3596,-3596,0
439,chaos,-520364,-524110,-524310,-523910,3746,-3746,0
440,chaos,-520364,-517260,-517460,-517060,3104,3104,0
441,chaos,-520364,-523010,-523210,-522810,2646,-2646,0
442,chaos,-520364,-519230,-519430,-519030,1134,1134,0
443,chaos,-520364,-523330,-523530,-523130,2966,-2966,0
444,chaos,-520364,-516720,-516920,-516520,3644,3644,0
445,chaos,-520364,-516110,-516310,-515910,4254,4254,0
446,chaos,-520364,-519490,-519690,-519290,874,874,0
447,chaos,-520364,-518190,-518390,-517990,2174,2174,0
448,chaos,-520364,-522440,-522640,-522240,2076,-2076,0
449,chaos,-520364,-518680,-518880,-518480,1684,1684,0
450,chaos,-520364,-516600,-516800,-516400,3764,3764,0
451,chaos,-520364,-515450,-515650,-515250,4914,4914,0
452,chaos,-520364,-523390,-523590,-523190,3026,-3026,0
453,chaos,-520364,-523480,-523680,-523280,3116,-3116,0
454,chaos,-520364,-520670,-520870,-520470,306,-306,0.225
455,chaos,-520364,-524750,-524950,-524550,4386,-4386,0
